Minifigure Number,Name,Sold,Upcoming,Cost,Low Value,High Value,Notes
SW0442,Clone Trooper (Phase 1),20,,1.5,,,
SW0443,Sith Trooper,,10,2,,,
SW0443,Sith Trooper,,,2,8,15,
SW0443,Sith Trooper,,,,,,
SW0444,Rebel Trooper,,,,,,
SW0444,Rebel Trooper,,,,,,
SW0445,501st Clone Trooper (Phase 2),25,,2,,,
SW0445,501st Clone Trooper (Phase 2),25,,5,,,
SW0445,501st Clone Trooper (Phase 2),10,,3.5,,,
SW0446,Yoda,12,,1,,,
SW0446,Yoda,10,,1,,,
SW0446,Yoda,,10,3,,,
SW0446,Yoda,,,4,12,20,
SW0448,Commando Droid Captain,10,,1,,,
SW0448,Commando Droid Captain,,,1,,,
SW0448,Commando Droid Captain,,,0.5,,,
SW0448,Commando Droid Captain,,,,,,
SW0449,Obi-Wan Kenobi  ,,,,,,
SW0450,Captain Rex (Phase 2),,,10,150,300,
SW0450,Captain Rex (Phase 2),,,16,150,300,
SW0450,Captain Rex (Phase 2),,,25,150,300,
SW0451,Han Solo,,8,1,,,
SW0451,Han Solo,,12,3,,,
SW0451,Han Solo,,,,,,
SW0452,Ahsoka Tano (Padawan),28,,8,,,
SW0452,Ahsoka Tano (Padawan),45,,8,,,
SW0452,Ahsoka Tano (Padawan),,,?,,,
SW0453,212th Clone Trooper (Phase 2),25,,5,,,
SW0453,212th Clone Trooper (Phase 2),25,,3,,,
SW0454,Umbaran Soldier,,,1,10,20,
SW0456,R4-P17,,,,,,
SW0456,R4-P17,,,,,,
SW0457,Imperial TIE Fighter Bomber Pilot,,,2,,,Wrong Head and helmet
SW0462,Hoth Rebel Trooper Tan Uniform,,,,,,
SW0463,Snowtrooper,,,2,,,
SW0463,Snowtrooper,,,,,,
SW0464,Darth Vader (Celebration),,,,,,
SW0467,Battle Droid Dark Orange,,7,1,,,
SW0467,Battle Droid Dark Orange,,,1,,,
SW0467b,Battle Droid Dark Orange,,,1,,,
SW0468,Jango Fett (Smile),100,,10,,,
SW0468,Jango Fett (Smile),,,?,50,100,(Mislabeled as 0845)
SW0468,Jango Fett (Smile),,,?,50,100,Mislabeled as 0845
SW0468,Jango Fett (Smile),,,,50,100,
SW0469,Stass Allie,35,,5,,,
SW0469,Stass Allie,,,7,40,60,
SW0471,Yoda,12,,3,,,
SW0472,Count Dooku,,75,7,,,
SW0472,Count Dooku ,,,4,50,80,Mislabeled as 0060
SW0474,Poggle the Lesser,,,,25,40,
SW0475a,Jek-14,40,,11.5,,,
SW0476,Bounty Hunter,,,2.5,20,30,
SW0476,Bounty Hunter,,,?,,,
SW0476,Bounty Hunter,,,?,,,
SW0480,Coleman Trebor,,,8,,,
SW0480,Coleman Trebor ,,,9,,,Wrong legs
SW0481,Clone Trooper Commander (Phase 1),,25,3,,,
SW0481,Clone Trooper Commander (Phase 1),,20,6,,,
SW0481,Clone Trooper Commander (Phase 1),,,5,,,
SW0482,Battle Droid Commander,,7,1,,,
SW0485,Princess Leia (Slave Leia),,,12,90,150,
SW0486,Max Rebo,134,,7,,,
SW0488,Anakin Skywalker (Padawan),,,7,30,50,
SW0488,Anakin Skywalker (Padawan),,,,,,
SW0489,Obi-Wan Kenobi,,,,,,
SW0489,Obi-Wan Kenobi,,,,,,
SW0490,Padme Amidala (Geonosis Arena),34,,,,,
SW0491,Clone Pilot ,,,1,,,Wrong torso
SW0492,Clone Trooper Captain (Phase 1),,,6,,,
SW0492,Clone Trooper Captain (Phase 1),,,8,,,
SW0493,Darth Maul (Mechanical Legs),40,,,,,
SW0494,Mandalorian Super Commando,40,,,,,
SW0494,Mandalorian Super Commando,,,,,,
SW0499,Sith Warrior,46,,6.5,,,
SW0499,Sith Warrior,,,,,,
SW0499,Sith Warrior,,,,,,
SW0500,Kao Cen Darach,,,10,140,200,
SW0501,Jedi Consular,,,,,,
SW0502,Clone Trooper Lieutenant (Phase 1),,,3,,,
SW0503,Special Forces Commander,,,,,,
SW0504,Princess Leia (Endor),,,,,,
SW0504,Princess Leia (Endor),,,,,,
SW0504,Princess Leia (Endor),,,,,,
SW0504,Princess Leia (Endor),,,,,,
SW0504,Princess Leia (Endor),,,,,,
SW0505,Scout Trooper,,,6,10,15,
SW0508,,10,,,,,
SW0509,Luke Skywalker  ,35,,7,,,
SW0510,Ewok- Teebo ,60,,4,,,Mislabeled as 0237
SW0513,Ewok- Wicket,,,7,,,Mislabeled as 0238
SW0515,General Grevious,40,,,,,
SW0515,General Grevious,40,,,,,
SW0518,41st Kashyyyk Clone Trooper Phase 2,,15,1,,,
SW0518,41st Kashyyyk Clone Trooper Phase 2,,15,1,,,
SW0518,41st Kashyyyk Clone Trooper Phase 2,,,1,,,
SW0518,41st Kashyyyk Clone Trooper Phase 2,,,2,,,
SW0519,41st Kashyyyk Clone Trooper Phase 2,,18,1,,,
SW0519,41st Kashyyyk Clone Trooper Phase 2,,18,1,,,
SW0519,41st Kashyyyk Clone Trooper Phase 2,,,2,,,
SW0519,41st Kashyyyk Clone Trooper Phase 2,,,2,,,
SW0520,Imperial Gunner,,,,,,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,2,6,10,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0521,Royal Guard,,,,,,
SW0522,212th Clone Trooper,,20,2,,,
SW0522,212th Clone Trooper,,,2,,,
SW0522,212th Clone Trooper,,,1,,,
SW0522,212th Clone Trooper,,,2,,,
SW0522,212th Clone Trooper,,,3,,,
SW0522,212th Clone Trooper,,,1,,,
SW0522,212th Clone Trooper,,,1,,,
SW0522,212th Clone Trooper,,,1,,,
SW0522,212th Clone Trooper,,,1,,,
SW0522,212th Clone Trooper,,,1,,,
SW0523,212th Clone Airborne Trooper,,25,?,,,
SW0523,212th Clone Airborne Trooper,,,?,,,
SW0523,212th Clone Airborne Trooper,,,2,0,0,Missing Pauldron
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0523,212th Clone Airborne Trooper,,,,,,
SW0524,Clone BARC Trooper,,25,2,,,
SW0524,Clone BARC Trooper,,,3,,,
SW0524,Clone BARC Trooper,,,?,,,
SW0525,Clone Trooper V-Wing Pilot,,,,,,
SW0526,Anakin Skywalker (Headset),,,3,15,35,
SW0526,Anakin Skywalker (Headset),,,,,,
SW0526,Anakin Skywalker (Headset),,,,,,
SW0527A,R2-D2,,,,,,
SW0528,Commander Gree (Phase 2),,,8,,,
SW0528,Commander Gree (Phase 2),,,,,,
SW0529,Imperial Gunner,,,,,,
SW0530,Chief Tarfful,,,5,,,
SW0530,Chief Tarfful,,,3,,,
SW0531,Clone Shock Trooper (Phase 2),,,5,65,100,
SW0531,Clone Shock Trooper (Phase 2),,,7,65,100,
SW0531,Clone Shock Trooper (Phase 2),,,5,65,100,
SW0531,Clone Shock Trooper (Phase 2),,,5,65,100,
SW0531,Clone Shock Trooper (Phase 2),,,5,65,100,
SW0531,Shock Trooper Phase 2,,,,65,100,
SW0532,Chewbacca,,,4,,,
SW0535,Obi-Wan Kenobi,,,,,,
SW0535,Obi-Wan Kenobi,,,,,,
SW0537,104th Clone Trooper 'Woldpack' (Phase 2),,,4,70,100,
SW0537,104th Clone Trooper 'Woldpack' (Phase 2),,,12,70,100,
SW0537,104th Clone Trooper 'Woldpack' (Phase 2),,,5,70,100,Mislabeled as 0331
SW0539,Han Solo,,,3,6,19,
SW0539,Han Solo,,,,,,
SW0539,Han Solo,,,,,,
SW0540,Chancellor Palpatine,,,6,,,
SW0542,Anakin Skywalker,,,,,,
SW0543,Imperial TIE Fighter Pilot,10,,1,,,
SW0543,Imperial TIE Fighter Pilot,,,2,7,10,
SW0544,Rebel X-Wing Pilot,,,3,,,
SW0544,Rebel X-Wing Pilot,,,,,,
SW0546,TC-4 Protocol Droid,,,8.5,12,25,
SW0547,Darth Revan,,layaway,18,200,350,Layaway (Sealed polybag (5002123-1))
SW0547,Darth Revan,,layaway,0,200,350,Sealed polybag (5002123-1)
SW0547,Darth Revan,,layaway,20,200,350,Sealed polybag (5002123-1)
SW0547,Darth Revan,,layaway,0,200,350,Sealed polybag (5002123-1)
SW0547,Darth Revan,,layaway,?,200,350,Sealed polybag (5002123-1)
SW0548a,Sandtrooper,,,5,20,30,mislabeled as 0383
SW0548a,Sandtrooper,,,7,20,30,
SW0551,Luke Skywalker (Tatooine),,,4,7,10,
SW0552,Obi-Wan Kenobi,,,,,,
SW0552,Obi-Wan Kenobi,,,,,,
SW0552,Obi-Wan Kenobi,,,,,,
SW0553,Greedo w/ Belt,,,,,,
SW0554,Bith Musician,,,2,,,
SW0554,Bith Musician,,,1,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,3,,,
SW0554,Bith Musician,,,2,,,
SW0554,Bith Musician,,,2,,,
SW0557,General Airen Cracken,,,,,,
SW0566,Luke Skywalker (Tatooine),,,,,,
SW0566,Luke Skywalker (Tatooine),,,,,,
SW0568,Snowtrooper,,,2,8,12,
SW0575,Zeb Orrelios,,,21.75,120,150,
SW0575,Zeb Orrelios,,,19,120,150,
SW0576,Hera Syndulla,,,2,20,40,
SW0577,Kanan Jarrus (Black hair),,,,250,350,
SW0577,Kanan Jarrus (Black hair),,,,250,350,
SW0578,Imperial Stormtrooper (Azure helmet),,10,1,,,
SW0578,Imperial Stormtrooper (Azure helmet),,,1,7,10,
SW0578,Imperial Stormtrooper (Azure helmet),,,1,7,10,
SW0578,Imperial Stormtrooper (Azure helmet),,,1,7,10,"Custom helmet, stuck on head"
SW0578,Imperial Stormtrooper (Azure helmet),,,1,7,10,mislabeled as 0188
SW0578,Imperial Stormtrooper (Azure helmet),,,1,7,10,mislabeled as 0188
SW0579,General Maximillian Veers,,,,,,
SW0579,General Maximillian Veers,,,,,,
SW0580,Snowtrooper Commander,,,,,,
SW0580,Snowtrooper Commander,,,,,,
SW0581,AT-AT Driver,,,2,7,9,
SW0583,Imperial Navy Trooper,,,,,,
SW0583,Imperial Navy Trooper,,,,,,
SW0585,Imperial Stormtrooper  ,,,2,10,15,
SW0585,Imperial Stormtrooper  ,,,2,10,15,
SW0590,Jawa w/ Gold Badge,,,,,,
SW0595,Emperor Palpatine,,,,,,
SW0599,Santa Darth Vader,,,,,,
SW0603,Imperial Shadow Stormtrooper,,9,1,,,
SW0603,Imperial Shadow Stormtrooper,,,,,,
SW0604,Shadow Guard,,8,1,,,
SW0604,Shadow Guard,,,1,6,10,
SW0604,Shadow Guard,,,2,6,10,
SW0604,Shadow Guard,,,2,6,10,
SW0604,Shadow Guard,,,2,6,10,
SW0604,Shadow Guard,,,2,6,10,
SW0604,Shadow Guard,,,?,6,10,
SW0604,Shadow Guard,,,?,6,10,
SW0604,Shadow Guard,,,?,6,10,
SW0605,Geonosis Clone Airborne Trooper (Phase 2),,12,?,,,
SW0605,Geonosis Clone Airborne Trooper (Phase 2),,12,?,,,
SW0605,Geonosis Clone Airborne Trooper (Phase 2),,,?,,,
SW0605,Geonosis Clone Airborne Trooper (Phase 2),,,,,,
SW0606,Geonosis Clone Trooper (Phase 2),12,,?,,,
SW0606,Geonosis Clone Trooper (Phase 2),,,,,,
SW0606,Geonosis Clone Trooper (Phase 2),,,,,,
SW0606,Geonosis Clone Trooper (Phase 2),,,,,,
SW0606,Geonosis Clone Trooper (Phase 2),,,,,,
SW0607,Snowspeeder Pilot,,,2,7,10,
SW0610,Boba Fett (Slave 1 UCS),,,20,,,Slave1
SW0611,Bespin Guard,,,5,,,
SW0613,Senate Commando Captain,14,,1,,,
SW0613,Senate Commando Captain,10,,1,,,
SW0614,Senate Commando ,15,,1,,,wrong head
SW0614,Senate Commando ,,,0.5,8,15,
SW0614,Senate Commando ,,,0.5,8,15,
SW0614,Senate Commando ,,,,,,
SW0614,Senate Commando ,,,,,,
SW0614,Senate Commando ,,,,,,
SW0614,Senate Commando ,,,,,,
SW0614,Senate Commando ,,,,,,
SW0614,Senate Commando ,,,,,,
SW0615,,30,,,,,
SW0616,Sabine Wren,,,5,,,with hair (helmet is $80)
SW0616,Sabine Wren,,,,,,custom figure
SW0616,Sabine Wren,,,5,110,140,with hair (helmet is $80)
SW0617,Imperial Stormtrooper,20 (paid twice),10,1,,,mislabeled as 0578
SW0617,Imperial Stormtrooper,,,1,7,12,mislabeled as 0578
SW0617,Imperial Stormtrooper,,,1,7,12,mislabeled as 0188
SW0617,Imperial Stormtrooper,,,1,7,12,mislabeled as 0188
SW0618,Anakin Skywalker,,,3,0,0,Cracked Torso
SW0619,T-16 Skyhopper Pilot,,,3,7,10,
SW0620,Tusken Raider,,,5,6,8,
SW0620,Tusken Raider,,,2,6,8,
SW0620,Tusken Raider,,,2,6,8,
SW0621,Imperial TIE Fighter Pilot,,,1,7,10,
SW0621,Imperial TIE Fighter Pilot,,,1,7,10,
SW0621,Imperial TIE Fighter Pilot,,,,,,
SW0621,Imperial TIE Fighter Pilot,,,,,,
SW0629,Clone Trooper Lieutenant (Phase 1) ,,,5,,,"Mislabeled 0502, wrong head"
SW0630,Imperial Stormtrooper Sergeant,,,,10,20,
SW0630,Imperial Stormtrooper Sergeant,,,0,15,20,Sealed polybag (5002938-1)
SW0631,Boba Fett (White from Encyclopedia),55,,6,,,
SW0631,Boba Fett (White from Encyclopedia),,,8,,,
SW0631,Boba Fett (White from Encyclopedia),,,0,,,
SW0631,Boba Fett (White from Encyclopedia),,,6,50,70,Sealed
SW0631,Boba Fett (White from Encyclopedia),,,8,50,70,Sealed
SW0631,Boba Fett (White from Encyclopedia),,,8,50,70,Sealed
SW0633,Admiral Yularen,,,0,80,100,sealed polybag (5002947-1)
SW0633,Admiral Yularen,,,0,80,100,sealed polybag (5002947-1)
SW0635,Emperor Palpatine,,,,,,
SW0648,Astromech Droid (Imperial),,,,,,
SW0648,Astromech Droid (Imperial),,,,,,
SW0650,Darth Maul  ,25,,,,,
SW0653,C-3PO Dark Red Arm (opened),,,3,10,15,
SW0653,C-3PO Dark Red Arm (Polybag),15,,1.8,,,sealed polybag (5002948-1)
SW0653,C-3PO Dark Red Arm (Polybag),15,,1.8,,,sealed polybag (5002948-1)
SW0653,C-3PO Dark Red Arm (Polybag),15,,1.8,,,sealed polybag (5002948-1)
SW0654,First Order Crew Member,,,,,,
SW0656,First Order Snowtrooper Officer,,,,,,
SW0661,BB-8,,8,1,,,
SW0661,BB-8,,,3,,,
SW0661,BB-8,,,3,,,
SW0662,General Hux,,,,,,
SW0663,Kylo Ren,,,13,20,30,
SW0663,Kylo Ren,,,,20,30,
SW0663,Kylo Ren,,,,,,
SW0664,First Order Stormtrooper Officer,,,,,,
SW0665,First Order Officer (Female),,,,,,
SW0666,First Order Flametrooper,,,,,,
SW0671,First Order Crew Member,,,,,,
SW0677,,7,,,,,
SW0683,Assassin Droid,,,,,,
SW0684,Captain Phasma,,,12,,,
SW0685,Yoda,,,3,10,12,
SW0691,Imperial Jet Pack Trooper,,,,,,
SW0692,Imperial Shock Trooper,,,,,,
SW0700,C-3PO ,,,3,,,
SW0701,First Order Snowtrooper  ,,,,,,
SW0703,Maz Kanata,,,,,,
SW0704,Obi-Wan Kenobi (Headset),,,,,,
SW0705,Resistance X-Wing Pilot,,,3,7,8,
SW0705,Resistance X-Wing Pilot,,,3,7,8,
SW0707,Yoda,12,,4,,,
SW0707,Yoda,12,,4,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),25,,5,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),25,,4,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,4.5,15,40,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,2.35,15,40,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0711,Boba Fett (Slave 1 20th Anniversary),,,,,,
SW0714,Han Solo,,,,,,
SW0715,First Order General,,,,7,10,Sealed polybag (5004406-1)
SW0715,First Order General,,,,7,10,Sealed polybag (5004406-1)
SW0715,First Order General,,,,7,10,Sealed polybag (5004406-1)
SW0715,First Order General,,,,7,10,Sealed polybag (5004406-1)
SW0716,Finn (FN-2187),,,,7,15,
SW0717,Kylo Ren,,,5,10,20,
SW0717,Kylo Ren,,,,,,
SW0718,General Leia,,,,,,
SW0719,Admiral Ackbar,,15,5,,,
SW0722,First Order Heavy Assault Stormtrooper,,,0,15,20,Sealed polybag (30602)
SW0722,First Order Heavy Assault Stormtrooper,,,,,,
SW0723,Unkar's Brute,,,2,7,8,
SW0725,K-3PO,,,,,,
SW0734,Hoth Rebel Trooper,,,,,,
SW0737,Poe Dameron,,,,,,
SW0738,Lor San Tekka,,,,10,30,
SW0738,Lor San Tekka,,,,10,30,
SW0744,Darth Vader (White head),,35,,,,
SW0750,Commander Wolffe (Old),40,,5,,,
SW0752,Naare,,,5,20,30,
SW0757,Rebel A-Wing Pilot,10,,0,,,Sealed polybag (5004408-1)
SW0757,Rebel A-Wing Pilot,,10,0,,,Sealed polybag (5004408-1)
SW0757,Rebel A-Wing Pilot,,,0,7,9,Sealed polybag (5004408-1)
SW0759,Ahsoka Tano,,Layaway,8,250,500,Sold (mislabeled as 0309)
SW0759,Ahsoka Tano,,Layaway,6,250,500,mislabeled as 0309
SW0759,Ahsoka Tano,,,14.6,250,500,
SW0759,Ahsoka Tano,,,14.6,250,500,
SW0763,Chewbacca (Snow),10,,2,,,
SW0764B,Snowtrooper   ,,,1,7,10,
SW0764B,Snowtrooper   ,,,1,7,10,
SW0781,Director Krennic,,75,,,,
SW0781,Director Krennic,,,,,,
SW0783,Baze Malbus,,,3,12,20,
SW0787,,40,,,,,
SW0788,Imperial TIE Fighter Striker Pilot,,10,1,,,
SW0789,Chirrut Imwe,,,,,,
SW0797,Imperial AT-ST Driver,,,,,,
SW0798,Pao,,,,,,
SW0800,Rebel U-Wing Pilot,,,2,10,20,
SW0802,Imperial Shuttle Pilot,,,,,,
SW0809,R3-S1,,,,,,
SW0811,Grand Admiral Thrawn,,,,,,
SW0829,Anakin Skywalker,,,2,,,
SW0839,Guavian Security Soldier,,,,,,
SW0839,Guavian Security Soldier,,,,,,
SW0839,Guavian Security Soldier,,,,,,
SW0840,Bala-Tik,,,4.5,,,
SW0852,,,40,,,,
SW0855,BB-9E,,,3,,,
SW0882,Sandspeeder Pilot,,,5.5,25,40,
SW0909,Barriss Offee,,,1,,,
SW0909,Barriss Offee,,,2,,,
SW0910,Clone Trooper (Phase 1),13,,2,,,
SW0910,Clone Trooper (Phase 1),16,,3,,,
SW0940,Bala-Tik,,,4.5,,,
SW0942,Weazel,,,3,8,12,
SW0984,Han Solo in Carbonite,,,0.5,5,10,
SW0988,Inferno Squad Agent,,,,,,
SW1005,Finch Dallow,,layaway,54,1000,1500,
Tauntaun,Tauntaun (64800pb01c02f),30,,,,,
Tauntaun,Tauntaun (64800pb01c02f),27,,6,,,
Wampa,Wampa,45,,6,,,
Wampa,Wampa,55,,5,,,
