Set Number,Set Name,Cost,Low Value,High Value,Notes,Sold,Location,Listing Price
75125,Resistance X-Wing Fighter Micro,5.12,,,Sold,19.99,Sold,
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Store,19.99
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Home,
75125,Resistance X-Wing Fighter Micro,5.12,15,20,,,Home,
75125,Resistance X-Wing Fighter Micro,6.12,15,20,,,,
75125,Resistance X-Wing Fighter Micro,4,15,20,,,,
75126,First Order Snowspeeder Micro,9,15,20,,,Store,
75126,First Order Snowspeeder Micro,9,15,20,,,Store,
75126,First Order Snowspeeder Micro,8.99,15,20,,,Store,
75126,First Order Snowspeeder Micro,8.99,15,20,,,Store,
75126,First Order Snowspeeder Micro,8.99,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.99,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.1,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.1,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.1,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.1,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.1,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8,15,20,,,Storage,
75126,First Order Snowspeeder Micro,7.56,15,20,,,Storage,
75126,First Order Snowspeeder Micro,8.99,15,20,,,Store,19.99
75126,First Order Snowspeeder Micro,4,15,20,,,Store,19.99
75126,First Order Snowspeeder Micro,7.99,15,20,,,Store,19.99
75126,First Order Snowspeeder Micro,7.99,15,20,,,Store,19.99
75126,First Order Snowspeeder Micro,7.99,15,20,,,Store,19.99
75126,First Order Snowspeeder Micro,7.99,15,20,,,Store,19.99
75127,The Ghost Micro,9,30,50,,,Store,
75127,The Ghost Micro,9,30,50,,,Store,
75127,The Ghost Micro,8.99,30,50,,,Store,
75127,The Ghost Micro,8.99,30,50,,,Store,
75127,The Ghost Micro,8.99,30,50,,,Storage,
75127,The Ghost Micro,8.99,30,50,,,Storage,
75127,The Ghost Micro,8.99,30,50,,,Storage,
75127,The Ghost Micro,8.1,30,50,,,Storage,
75127,The Ghost Micro,8.1,30,50,,,Storage,
75127,The Ghost Micro,8.1,30,50,,,Storage,
75127,The Ghost Micro,7.56,30,50,,,Storage,
75127,The Ghost Micro,7.56,30,50,,,Storage,
75127,The Ghost Micro,7.99,30,50,,,Storage,
75127,The Ghost Micro,7.99,30,50,,,Storage,
75127,The Ghost Micro,7.99,30,50,,,Store,49.99
75127,The Ghost Micro,6.12,30,50,,,Store,49.99
75127,The Ghost Micro,5.12,30,50,,,Store,49.99
75127,The Ghost Micro,5.12,30,50,,,Store,49.99
75127,The Ghost Micro,5.12,30,50,,,Store,49.99
75127,The Ghost Micro,5.12,30,50,,,Home,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Store,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Store,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Store,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Store,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,8.99,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,7.19,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,7.19,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,7.19,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,7.19,15,25,,,Storage,
75128,TIE Advanced Prototype Micro,7.56,15,25,,,Store,24.99
75128,TIE Advanced Prototype Micro,7.56,15,25,,,Store,24.99
75128,TIE Advanced Prototype Micro,7.56,15,25,,,Store,24.99
75128,TIE Advanced Prototype Micro,8.69,,,Sold,19.99,Sold,
75128,TIE Advanced Prototype Micro,8.69,,,Sold,19.99,Sold,
75128,TIE Advanced Prototype Micro,7.99,15,25,,,,
75128,TIE Advanced Prototype Micro,7.99,15,25,,,,
75129,Wookie Gunship Micro,9,15,25,,,Store,
75129,Wookie Gunship Micro,9,15,25,,,Storage,
75129,Wookie Gunship Micro,8.99,15,25,,,Storage,
75129,Wookie Gunship Micro,8.99,15,25,,,Storage,
75129,Wookie Gunship Micro,9.89,15,25,,,Storage,
75129,Wookie Gunship Micro,7.19,15,25,,,Storage,
75129,Wookie Gunship Micro,7.19,15,25,,,Storage,
75129,Wookie Gunship Micro,7.19,15,25,,,Storage,
75129,Wookie Gunship Micro,7,15,25,,,Storage,
75129,Wookie Gunship Micro,7.56,15,25,,,Storage,
75129,Wookie Gunship Micro,7.56,15,25,,,Store,24.99
75129,Wookie Gunship Micro,7.56,15,25,,,Store,24.99
75129,Wookie Gunship Micro,7.99,15,25,,,Store,24.99
75129,Wookie Gunship Micro,7.99,15,25,,,Store,24.99
75129,Wookie Gunship Micro,7.99,,,Sold,24.99,Sold,
75129,Wookie Gunship Micro,7.99,15,25,,,Store,24.99
75130,AT-DP Micro,8.99,15,30,,,Store,
75130,AT-DP Micro,8.99,15,30,,,Store,
75130,AT-DP Micro,9,15,30,,,Store,
75130,AT-DP Micro,8.99,15,30,,,Storage,
75130,AT-DP Micro,6.74,15,30,,,Storage,
75130,AT-DP Micro,6.74,15,30,,,Storage,
75130,AT-DP Micro,6.74,15,30,,,Storage,
75130,AT-DP Micro,6.74,15,30,,,Storage,
75130,AT-DP Micro,8.99,15,30,,,Storage,
75130,AT-DP Micro,7.19,15,30,,,Storage,
75130,AT-DP Micro,7.19,15,30,,,Storage,
75130,AT-DP Micro,8,15,30,,,Store,24.99
75130,AT-DP Micro,7.56,15,30,,,Store,24.99
75130,AT-DP Micro,7.56,15,30,,,Store,24.99
75130,AT-DP Micro,8.99,15,30,,,Store,24.99
75130,AT-DP Micro,7.99,15,30,,,Store,24.99
75131,Resistance Trooper Battle Pack,11.7,15,30,,,Store,
75131,Resistance Trooper Battle Pack,11.7,15,30,,,Storage,
75131,Resistance Trooper Battle Pack,11.69,15,30,,,Storage,
75131,Resistance Trooper Battle Pack,11.69,15,30,,,Storage,
75131,Resistance Trooper Battle Pack,8.99,15,30,,,Storage,
75131,Resistance Trooper Battle Pack,11.69,15,30,,,Storage,
75131,Resistance Trooper Battle Pack,10.25,15,30,,,Store,29.99
75131,Resistance Trooper Battle Pack,10.25,15,30,,,Store,29.99
75131,Resistance Trooper Battle Pack,10.39,15,30,,,Store,29.99
75131,Resistance Trooper Battle Pack,10.39,,,Sold,25.99,Sold,
75132,First Order Battle Pack,11.7,15,25,,,Store,
75132,First Order Battle Pack,11.7,15,25,,,Store,
75132,First Order Battle Pack,11.69,15,25,,,Storage,
75132,First Order Battle Pack,9.89,15,25,,,Storage,
75132,First Order Battle Pack,11.69,15,25,,,Storage,
75132,First Order Battle Pack,10.35,15,25,,,Store,24.99
75132,First Order Battle Pack,10.35,15,25,,,Store,24.99
75132,First Order Battle Pack,10.39,15,25,,,,
75132,First Order Battle Pack,7.44,15,25,,,,
75133,Rebel Alliance Battle Pack,11.69,20,40,Figures combined to about $45,,Store,
75133,Rebel Alliance Battle Pack,11.69,20,40,,,Store,
75133,Rebel Alliance Battle Pack,11.69,20,40,,,Storage,
75133,Rebel Alliance Battle Pack,11.69,20,40,,,Storage,
75133,Rebel Alliance Battle Pack,11.69,20,40,,,Store,39.99
75133,Rebel Alliance Battle Pack,10.12,20,40,,,Store,
75133,Rebel Alliance Battle Pack,10.12,20,40,,,Store,
75133,Rebel Alliance Battle Pack,10.12,20,40,,,Store,
75133,Rebel Alliance Battle Pack,10.39,20,40,,,Store,
75133,Rebel Alliance Battle Pack,5.18,20,40,,,,
75134,Galactic Empire Battle Pack,11.7,30,1 50,"popular figure, only in this set.",,FigCurraecsk combined about,$55
75134,Galactic Empire Battle Pack,11.7,30,50,,,Crack,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Store,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,11.69,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Storage,
75134,Galactic Empire Battle Pack,8.77,30,50,,,Store,49.99
75134,Galactic Empire Battle Pack,9.89,30,50,,,Store,49.99
75134,Galactic Empire Battle Pack,9.89,30,50,,,Store,49.99
75134,Galactic Empire Battle Pack,9.89,30,50,,,Store (Built w/ figs),
75134,Galactic Empire Battle Pack,10.12,,,Sold,45.99,Sold,
75134,Galactic Empire Battle Pack,5.18,30,50,,,,
75135,Obi Wan's Jedi Interceptor,22.49,80,150,,,Store,149.99
75135,Obi Wan's Jedi Interceptor,22.49,80,150,,,Store,149.99
75135,Obi Wan's Jedi Interceptor,24.49,80,150,,,Storage,
75135,Obi Wan's Jedi Interceptor,15.99,80,150,,,Store,149.99
75135,Obi Wan's Jedi Interceptor,16,80,150,,,Store,149.99
75135,Obi Wan's Jedi Interceptor,16,80,150,,,Store (Built w/o figs),
75135,Obi Wan's Jedi Interceptor,?,,,Sold,139.99,Sold,
75136,Droid Escape Pod,19.99,25,45,,,Storage,
75136,Droid Escape Pod,22.49,25,45,,,Storage,
75136,Droid Escape Pod,24.49,25,45,,,Storage,
75136,Droid Escape Pod,13,25,45,,,Store,44.99
75136,Droid Escape Pod,18.89,25,45,,,Home,
75136,Droid Escape Pod,18.89,,,Sold,44.99,Sold,
75137,Carbon Freezing Chamber,19.99,40,60,,,Storage,
75137,Carbon Freezing Chamber,22.49,40,60,,,Storage,
75137,Carbon Freezing Chamber,22.49,40,60,,,Store,59.99
75137,Carbon Freezing Chamber,22.49,40,60,,,Store,59.99
75137,Carbon Freezing Chamber,22.49,40,60,,,Store,59.99
75137,Carbon Freezing Chamber,16,40,60,,,Home,
75137,Carbon Freezing Chamber,16,40,60,,,Home,
75138,Hoth Attack,22.49,50,90,,,Store,79.99
75138,Hoth Attack,24.29,50,90,,,Store,
75138,Hoth Attack,16,50,90,,,Storage,
75138,Hoth Attack,15.99,50,90,,,Store,
75139,Battle on Takodana,53.99,40,60,,,Store,59.99
75139,Battle on Takodana,29.99,40,60,,,Store,
75139,Battle on Takodana,7.19,,,Sold,55.99,Sold,
75140,Resistance Troop Transport,56.54,60,90,,,Store,99.99
75141,Kanan's Speeder Bike,21.6,50,80,,,Store,
75141,Kanan's Speeder Bike,21.6,50,80,,,Storage,
75141,Kanan's Speeder Bike,19.99,50,80,,,Store,79.99
75142,Homing Spider Droid,26.99,70,150,,,Store,
75142,Homing Spider Droid,25.68,70,150,,,Store,124.99
75144,Snowspeeder UCS,99.99,,,Sold,399.99,Store,399.99
75145,Eclipse Fighter,26.99,30,50,,,Store,49.99
75145,Eclipse Fighter,23,30,50,,,Store,
75145,Eclipse Fighter,20,30,50,,,Storage,
75145,Eclipse Fighter,20,,,Sold,49.99,Sold,
75145,Eclipse Fighter,18.99,30,50,,,Store,49.99
75147,StarScavenger,31.77,50,80,,,Store,79.99
75147,StarScavenger,36,50,80,,,Store,79.99
75147,StarScavenger,37,50,80,,,,
75148,Encounter on Jakku,53.99,40,60,,,Store,
75148,Encounter on Jakku,42.8,40,60,,,Storage,
75149,Resistance X-Wing Fighter,68.99,80,120,,,Store,119.99
75149,Resistance X-Wing Fighter,49,80,120,,,Store,119.99
75149,Resistance X-Wing Fighter,71.99,80,120,,,Store,119.99
75150,Vader's TIE Advanced VS A-Wing Starfighter,80.99,150,200,,,Store,199.99
75150,Vader's TIE Advanced VS A-Wing Starfighter,61,,,Sold,150,Sold,
75151,Clone Turbo Tank,98.99,350,400,,,Store,
75151,Clone Turbo Tank,85.63,350,400,,,Store,399.99
75152,Imperial Assault Hovertank,26.99,75,120,,,Store,119.99
75153,AT-ST Walker,35.99,60,100,,,Store,99.99
75153,AT-ST Walker,19.99,60,100,,,Store,99.99
75154,TIE Striker,62.99,100,150,,,Store,
75154,TIE Striker,32.99,100,150,,,Store,
75154,TIE Striker,34,100,150,,,Store,149.99
75155,Rebel U-Wing Fighter,71.99,,,Sold,199.99,Sold,199.99
75155,Rebel U-Wing Fighter,56,150,220,,,Store,199.99
75155,Rebel U-Wing Fighter,56,,,Sold,199.99,Sold,
75156,Krennic's Imperial Shuttle,80.99,200,290,,,Store,264.99
75156,Krennic's Imperial Shuttle,30.39,200,290,,,Store,264.99
75157,Captain Rex's AT-TE,107.99,350,400,,,Home,
75157,Captain Rex's AT-TE,107.99,350,400,,,Store,
75157,Captain Rex's AT-TE,89,350,400,,,Store,399.99
75158,Rebel Combat Frigate,98.99,600,700,,,Store,699.99
75160,U-Wing Microfighter,6.63,15,20,,,Storage,
75160,U-Wing Microfighter,6.63,15,20,,,Storage,
75160,U-Wing Microfighter,8.99,15,20,,,Store,19.99
75160,U-Wing Microfighter,1,15,20,,,Home,
75161,TIE Striker Microfighter,6.63,15,20,,,Storage,
75161,TIE Striker Microfighter,7.36,15,20,,,Storage,
75161,TIE Striker Microfighter,1,15,20,,,Store,19.99
75161,TIE Striker Microfighter,5,15,20,,,,
75162,Y-Wing Microfighter,6.63,15,25,,,Storage,
75162,Y-Wing Microfighter,6.63,15,25,,,Storage,
75162,Y-Wing Microfighter,6.63,15,25,,,Store,24.99
75162,Y-Wing Microfighter,8.99,15,25,,,Store,24.99
75162,Y-Wing Microfighter,6.7,15,25,,,Store,24.99
75163,Krennic's Imperial Shuttle Microfighter,6.63,15,20,,,Store,19.99
75163,Krennic's Imperial Shuttle Microfighter,7.36,15,20,,,Store,19.99
75163,Krennic's Imperial Shuttle Microfighter,1,15,20,,,,
75164,Rebel Trooper Battle Pack,9.95,20,45,Figures combined around $40,,Store,39.99
75164,Rebel Trooper Battle Pack,9.95,20,45,,,Store,39.99
75164,Rebel Trooper Battle Pack,1.46,20,45,,,Store,39.99
75165,Imperial Trooper Battle Pack,9.95,40,55,,,Store,54.99
75165,Imperial Trooper Battle Pack,9.95,40,55,,,Store,54.99
75165,Imperial Trooper Battle Pack,12.49,40,55,,,Store,54.99
75166,First Order Transport Speeder Battle Pack,9,20,30,,,Store,29.99
75166,Fisrt Order Transport Speeder Battle Pack,9,20,30,,,Store,29.99
75167,Bounty Hunter Speeder Bike Battle Pack,9,,,Sold,40,Sold,49.99
75167,Bounty Hunter Speeder Bike Battle Pack,9,35,50,,,Store,49.99
75167,Bounty Hunter Speeder Bike Battle Pack,10.78,35,50,,,Store,49.99
75168,Yoda's Jedi Starfighter,16.57,30,60,,,Store,59.99
75169,Duel on Naboo,16.57,50,80,,,Store,
75169,Duel on Naboo,?,50,80,,,Store,79.99
75170,The Phantom,19.89,250,350,,,Store,
75170,The Phantom,19.89,250,350,,,Store,
75170,The Phantom,22.08,250,350,,,Store,349.99
75170,The Phantom,17.99,250,350,,,Storage,
75170,The Phantom,17.22,250,350,,,Storage,
75171,Battle on Scarif,33.15,100,150,,,Store,
75171,Battle on Scarif,28.99,100,150,,,,
75172,Y-Wing Starfighter,44.16,,,Sold,149.99,Sold,
75172,Y-Wing Starfighter,33.83,,,Sold,159.99,Sold,
75172,Y-Wing Starfighter,38.99,120,160,,,Storage,
75172,Y-Wing Starfighter,29.99,120,160,,,,
75173,Luke's Landspeeder,14.79,25,40,,,Store,39.99
75174,Desert Skiff Escape,21.49,65,95,Bob Fett is $65,,Store,89.99
75175,A-Wing Starfighter,28.51,100,120,,,Store,119.99
75175,A-Wing Starfighter,24.25,100,120,,,Store,119.99
75175,A-Wing Starfighter,25.99,100,120,,,Storage,
75176,Resistance Transport Pod,19.25,25,40,,,Store,39.99
75177,First Order Heavy Scout Walker,51.15,40,60,,,Store,59.99
75178,Jakku Quadjumper,24.99,65,80,,,Store,79.99
75179,Kylo Ren's TIE Fighter,51.3,120,200,,,Store,179.99
75180,Rathtar Escape,47.98,,,Layaway,0,Store,79.99
75182,Republic Fighter Tank,18.24,80,130,,,Store,124.99
75182,Republic Fighter Tank,17.49,80,130,Figures combined to $90,,Store,124.99
75183,Darth Vadar Transformation,14.98,60,85,,,Storage,
75183,Darth Vadar Transformation,7.49,60,85,,,Home,
75185,Tracker 1,49.99,,,Sold,119.99,Sold,119.99
75186,The Arrowhead,61,140,180,,,Home,174.99
75187,BB-8,64.1,130,190,,,Store,174.99
75188-3,Resistance Bomber,70.5,160,200,,,Store,199.99
75189,First Order Heavy Assault Walker,96.15,150,200,,,Store,199.99
75190,First Order Star Destroyer,102.55,200,280,,,Store,279.99
75191,Jedi Starfighter With Hyperdrive,78,,,Sold,450,Sold,
75192,Millennium Falcon UCS,789.99,,,Sold,799.99,Sold,799.99
75206,Jedi and Clone Troopers Battle Pack,?,,,,,Store (Built w/o figs),
75218,X-Wing Starfighter,32.5,100,150,,,Store,149.99
75240,Major Vonreg's TIE Fighter,54.95,80,120,,,,
75249,Resistance Y-Wing Starfighter,47.36,50,90,,,,
75258,Anakin's Pod Racer,24.99,40,60,,,Store,59.99
75263,Resistance Y-Wing Microfighter,4.99,10,20,,,Store,19.99
75263,Resistance Y-Wing Microfighter,4.99,10,20,,,Store,19.99
75263,Resistance Y-Wing Microfighter,6.29,10,20,,,Store,19.99
75263,Resistance Y-Wing Microfighter,6.29,10,20,,,,
75263,Resistance Y-Wing Microfighter,7.49,10,20,,,,
75264,Kylo Ren's Shuttle Microfighter,6.99,20,35,,,,
75266,Sith Trooper Battle Pack,12.99,15,25,,,,
75266,Sith Trooper Battle Pack,12.99,15,25,,,,
75266,Sith Trooper Battle Pack,12.99,15,25,,,,
75267,Mandalorian Battle Pack,12.95,15,30,,,,
75267,Mandalorian Battle Pack,12.99,15,30,,,,
75267,Mandalorian Battle Pack,12.99,15,30,,,,
75267,Mandalorian Battle Pack,12.99,15,30,,,,
75273,Poe Dameron's X-Wing Fighter,72.99,80,100,,,,
75273,Poe Dameron's X-Wing Fighter,72.99,80,100,,,,
75532,Scout Trooper & Speeder Bike,27.99,70,100,,,Store,99.99
